Timestamp,Indirapuram_UPPCB,Loni_UPPCB,SanjayNagar_UPPCB,Vasundhara_UPPCB,NoidaSector62_IMD
19-08-2021 00:00,61,106,71,61,34.05
19-08-2021 00:15,61,106,71,61,40.29
19-08-2021 00:30,61,106,71,61,52.92
19-08-2021 00:45,52,82,60,62,64.01
19-08-2021 01:00,52,82,60,62,60.44
19-08-2021 01:15,52,82,60,62,50.79
19-08-2021 01:30,52,82,60,62,51.91
19-08-2021 01:45,77,88,69,73,68.22
19-08-2021 02:00,77,88,69,73,79.34
19-08-2021 02:15,77,88,69,73,83.99
19-08-2021 02:30,77,88,69,73,83.72
19-08-2021 02:45,88,84,113,None,74.41
19-08-2021 03:00,None,84,113,84,76.34
19-08-2021 03:15,88,84,113,84,85.32
19-08-2021 03:30,88,84,113,84,91.61
19-08-2021 03:45,123,96,159,127,91.01
19-08-2021 04:00,123,96,159,127,91.05
19-08-2021 04:15,123,96,159,127,93.76
19-08-2021 04:30,123,96,159,127,86.41
19-08-2021 04:45,113,94,103,105,74.51
19-08-2021 05:00,113,94,103,105,70.24
19-08-2021 05:15,113,94,103,105,60.91
19-08-2021 05:30,113,94,103,105,61.99
19-08-2021 05:45,68,116,84,82,63.44
19-08-2021 06:00,68,116,84,82,72.92
19-08-2021 06:15,68,116,84,82,71.07
19-08-2021 06:30,68,116,84,82,63.93
19-08-2021 06:45,104,133,135,89,60.99
19-08-2021 07:00,104,133,None,89,74.14
19-08-2021 07:15,104,133,135,89,90.93
19-08-2021 07:30,104,133,135,89,99.54
19-08-2021 07:45,107,119,96,103,97.92
19-08-2021 08:00,107,119,96,103,89.8
19-08-2021 08:15,107,119,96,None,87.78
19-08-2021 08:30,107,119,96,103,86.95
19-08-2021 08:45,103,136,76,96,88.58
19-08-2021 09:00,103,136,76,96,85.92
19-08-2021 09:15,103,136,76,96,85.68
19-08-2021 09:30,103,136,76,96,92.21
19-08-2021 09:45,92,134,72,103,93.4
19-08-2021 10:00,92,134,72,103,86.2
19-08-2021 10:15,92,134,72,103,86.56
19-08-2021 10:30,92,134,None,103,89.44
19-08-2021 10:45,85,82,65,90,97.05
19-08-2021 11:00,85,82,65,90,88.06
19-08-2021 11:15,85,82,65,90,85.06
19-08-2021 11:30,85,82,65,90,79.31
19-08-2021 11:45,70,64,60,74,76.24
19-08-2021 12:00,70,64,60,74,66.72
19-08-2021 12:15,70,64,60,74,66.5
19-08-2021 12:30,70,64,60,74,67.18
19-08-2021 12:45,53,56,57,58,58.64
19-08-2021 13:00,53,56,57,58,44.35
19-08-2021 13:15,53,56,57,58,29.78
19-08-2021 13:30,53,56,57,None,38.45
19-08-2021 13:45,48,62,54,50,47.26
19-08-2021 14:00,48,62,54,None,56.42
19-08-2021 14:15,48,62,54,50,54.43
19-08-2021 14:30,48,62,54,50,57.61
19-08-2021 14:45,58,66,56,60,None
19-08-2021 15:00,58,66,56,60,None
19-08-2021 15:15,58,66,56,60,None
19-08-2021 15:30,None,66,56,60,None
19-08-2021 15:45,65,90,61,72,None
19-08-2021 16:00,65,90,61,72,None
19-08-2021 16:15,65,90,61,72,None
19-08-2021 16:30,65,90,61,72,None
19-08-2021 16:45,71,70,59,72,None
19-08-2021 17:00,71,70,59,72,None
19-08-2021 17:15,71,None,59,72,None
19-08-2021 17:30,71,70,59,72,None
19-08-2021 17:45,70,None,64,76,None
19-08-2021 18:00,70,None,64,76,None
19-08-2021 18:15,70,None,64,76,None
19-08-2021 18:30,70,None,64,76,None
19-08-2021 18:45,59,None,68,64,None
19-08-2021 19:00,59,None,68,64,None
19-08-2021 19:15,59,None,68,64,None
19-08-2021 19:30,59,None,68,64,None
19-08-2021 19:45,65,None,95,62,None
19-08-2021 20:00,65,None,95,62,None
19-08-2021 20:15,65,None,95,62,None
19-08-2021 20:30,65,None,95,62,None
19-08-2021 20:45,79,81,71,74,None
19-08-2021 21:00,79,81,71,74,None
19-08-2021 21:15,79,81,71,74,None
19-08-2021 21:30,79,81,71,74,None
19-08-2021 21:45,59,82,58,65,None
19-08-2021 22:00,59,82,58,65,None
19-08-2021 22:15,59,82,58,65,None
19-08-2021 22:30,59,82,58,65,None
19-08-2021 22:45,49,81,42,54,None
19-08-2021 23:00,49,81,42,54,None
19-08-2021 23:15,49,81,42,54,None
19-08-2021 23:30,49,81,42,54,None
19-08-2021 23:45,43,68,42,46,None
20-08-2021 00:00,43,68,42,46,None
20-08-2021 00:15,43,68,42,46,None
20-08-2021 00:30,43,68,42,46,None
20-08-2021 00:45,51,60,38,56,None
20-08-2021 01:00,51,60,38,56,None
20-08-2021 01:15,51,60,38,56,None
20-08-2021 01:30,51,60,38,56,None
20-08-2021 01:45,55,83,53,48,None
20-08-2021 02:00,55,83,53,48,None
20-08-2021 02:15,55,83,53,48,None
20-08-2021 02:30,55,83,53,48,None
20-08-2021 02:45,47,63,73,48,None
20-08-2021 03:00,47,63,73,48,None
20-08-2021 03:15,47,None,73,48,None
20-08-2021 03:30,47,63,73,48,None
20-08-2021 03:45,47,57,55,43,None
20-08-2021 04:00,47,None,55,None,None
20-08-2021 04:15,47,57,55,43,None
20-08-2021 04:30,47,57,55,43,None
20-08-2021 04:45,43,68,53,45,None
20-08-2021 05:00,43,68,53,45,None
20-08-2021 05:15,43,68,53,45,None
20-08-2021 05:30,43,68,53,45,None
20-08-2021 05:45,43,64,45,None,None
20-08-2021 06:00,43,64,45,42,None
20-08-2021 06:15,43,64,45,42,None
20-08-2021 06:30,43,64,45,42,None
20-08-2021 06:45,46,74,42,44,None
20-08-2021 07:00,46,74,42,44,None
20-08-2021 07:15,46,74,42,44,None
20-08-2021 07:30,46,74,42,44,None
20-08-2021 07:45,38,67,30,38,None
20-08-2021 08:00,38,67,30,38,None
20-08-2021 08:15,38,67,30,38,None
20-08-2021 08:30,38,67,30,38,None
20-08-2021 08:45,28,62,45,38,None
20-08-2021 09:00,None,62,45,38,None
20-08-2021 09:15,28,62,45,38,None
20-08-2021 09:30,28,62,45,38,None
20-08-2021 09:45,39,55,45,47,None
20-08-2021 10:00,39,55,45,47,None
20-08-2021 10:15,39,55,45,47,None
20-08-2021 10:30,39,55,45,47,None
20-08-2021 10:45,31,26,22,33,None
20-08-2021 11:00,31,26,22,33,None
20-08-2021 11:15,None,26,22,33,None
20-08-2021 11:30,31,26,22,33,None
20-08-2021 11:45,16,494,15,25,None
20-08-2021 12:00,16,None,15,25,None
20-08-2021 12:15,16,None,15,25,None
20-08-2021 12:30,16,None,15,25,None
20-08-2021 12:45,16,None,21,17,None
20-08-2021 13:00,16,494,21,17,None
20-08-2021 13:15,16,494,21,17,None
20-08-2021 13:30,16,494,21,17,None
20-08-2021 13:45,16,None,14,20,None
20-08-2021 14:00,16,None,14,20,None
20-08-2021 14:15,16,None,14,20,None
20-08-2021 14:30,16,None,14,20,None
20-08-2021 14:45,11,16,8,6,None
20-08-2021 15:00,11,16,8,6,None
20-08-2021 15:15,11,16,8,6,None
20-08-2021 15:30,11,16,8,6,None
20-08-2021 15:45,9,11,4,6,None
20-08-2021 16:00,9,11,4,6,None
20-08-2021 16:15,9,11,4,6,None
20-08-2021 16:30,9,11,4,6,None
20-08-2021 16:45,13,7,None,10,None
20-08-2021 17:00,13,7,None,10,None
20-08-2021 17:15,13,7,None,None,None
20-08-2021 17:30,13,7,None,10,None
20-08-2021 17:45,13,27,7,13,None
20-08-2021 18:00,13,27,7,13,None
20-08-2021 18:15,13,27,7,13,None
20-08-2021 18:30,13,27,7,13,None
20-08-2021 18:45,16,18,7,8,None
20-08-2021 19:00,16,18,7,8,None
20-08-2021 19:15,16,18,7,8,None
20-08-2021 19:30,16,18,7,8,None
20-08-2021 19:45,16,25,15,12,None
20-08-2021 20:00,16,25,15,12,None
20-08-2021 20:15,16,25,15,12,None
20-08-2021 20:30,16,25,15,12,None
20-08-2021 20:45,19,25,18,24,None
20-08-2021 21:00,19,25,18,24,None
20-08-2021 21:15,19,25,18,24,None
20-08-2021 21:30,19,25,18,24,None
20-08-2021 21:45,24,25,24,25,None
20-08-2021 22:00,24,25,24,25,None
20-08-2021 22:15,24,25,24,25,None
20-08-2021 22:30,24,25,24,25,None
20-08-2021 22:45,26,28,29,31,None
20-08-2021 23:00,26,28,29,31,None
20-08-2021 23:15,26,28,29,31,None
20-08-2021 23:30,26,28,29,31,None
20-08-2021 23:45,19,None,20,22,None
