closest_monitor,ppm,pred
AnandVihar_DPCC,225.80597014925374,167.69756
CRRIMathuraRoad_IMD,126.32,181.04834
IGIAirport_IMD,189.82,151.56554
ITO_CPCB,140.0,148.50781
IndirapuramGhaziabad_UPPCB,97.0,126.5624
JNS_DPCC,114.14285714285714,159.93292
KnowledgeParkIIIGreaterNoida_UPPCB,80.0,120.9661
LodhiRoad_IITM,255.46666666666667,163.04214
LodhiRoad_IMD,93.11,143.34149
MDCNS_DPCC,140.0,149.37236
NehruNagar_DPCC,235.0,185.53038
Patparganj_DPCC,142.13333333333333,136.40065
SanjayNagarGhaziabad_UPPCB,126.0,134.71
Sector125Noida_UPPCB,64.0,101.38169
Sector1Noida_UPPCB,122.0,116.57876
Sector62Noida_IMD,117.26181818181813,143.77885
Sirifort_CPCB,163.0,217.29774
VasundharaGhaziabad_UPPCB,132.0,134.4605
VivekVihar_DPCC,227.0,160.94229
